Lambda_Diff,Distance
2.92,4093.501
1.928,4237.006
2.536,8014.8
1.632,7677.516
1.616,7347.991
2.376,7027.314
1.944,6716.754
1.04,6417.78
1.712,6132.086
1.424,5861.615
1.68,6085.318
1.24,5608.569
1.264,5375.41
1.32,5164.832
1.096,4979.7
1.04,4822.945
0.552,4697.41
1.672,4605.648
0.216,4549.702
0.664,4530.9
0.744,4549.702
1.952,5693.968
1.976,4605.648
3.216,4697.41
1.784,8386.788
1.808,8065.076
1.824,7752.042
1.768,7448.78
1.36,7156.534
1.432,6876.706
0.984,6610.875
1.464,5305.932
1.48,6360.795
0.816,6128.396
1.2,5915.76
0.808,5725.092
0.952,5558.651
0.416,5418.671
0.152,5307.245
1.552,5226.201
0.032,5176.966
1.056,5160.45
1.144,4921.995
0.4,5176.966
2.192,5226.201
3.24,5307.245
1.944,5418.701
1.464,4543.194
0.984,4170.93
1.064,6309.14
1.112,3807.122
1.192,3454.441
0.672,3116.668
1.448,2799.204
0.84,2509.768
0.768,2259.158
2.272,2061.583
0.704,1933.371
0.656,1888.7
1.048,1933.371
1.064,5932.573
0.776,2061.583
1.552,2259.158
0.184,2509.834
2.344,6730.03
1.848,6324.598
1.552,5920.24
1.76,5517.193
1.544,5115.766
1.128,4716.373
1.272,4319.578
1.336,5561.21
1.704,3926.169
1.08,3537.276
1.288,3154.57
1.264,2780.605
1.056,2419.44
0.968,2077.759
0.712,1766.902
2.264,1506.078
0.08,1325.167
0.208,1259.1
1.0,5196.169
0.936,1325.167
0.8,1506.078
1.8,1766.902
0.744,2077.838
2.448,6641.111
2.152,6229.896
1.816,5818.961
2.032,5408.372
1.64,4998.212
1.088,4588.599
0.976,4838.88
1.928,4179.691
1.384,3771.72
1.04,3365.024
1.272,2960.131
1.152,2557.895
0.776,2159.804
1.04,1768.656
0.64,1390.325
2.296,1038.91
0.672,753.081
0.536,4491.192
0.32,629.6
1.176,753.081
0.008,1038.91
0.736,1768.749
2.04,6611.2
1.888,6198.0
1.68,5784.8
2.264,5371.6
1.968,4958.4
0.456,4155.517
1.704,4545.2
1.72,4132.0
1.864,3718.8
0.896,3305.6
1.448,2892.4
1.192,2479.2
1.184,2066.0
0.992,1652.8
0.528,1239.6
2.128,826.4
0.96,413.2
2.392,826.4
1.48,1239.7
1.648,7058.354
2.088,6647.265
1.056,6236.455
1.336,5825.983
0.336,3835.011
1.424,5415.926
1.224,5006.386
1.152,4597.501
1.208,4189.463
1.504,3782.545
0.832,3377.153
0.776,2973.912
0.856,2573.831
0.392,2178.653
0.248,1791.625
0.48,3533.803
1.688,1419.43
0.328,1077.548
1.0,805.547
0.376,691.5
1.296,805.547
2.344,1077.548
1.68,1419.517
2.12,7147.552
1.584,6741.904
1.272,6337.232
0.192,3257.251
1.696,5933.735
1.712,5531.672
1.392,5131.378
1.384,4733.302
0.856,4338.056
1.024,3946.489
1.064,3559.817
0.8,3179.824
0.656,2809.224
0.472,2452.277
0.512,3012.155
0.312,2115.905
2.128,1811.605
0.064,1558.282
1.016,1384.211
0.336,1321.1
2.824,1558.282
1.288,1811.674
1.728,7290.228
1.536,6892.982
1.152,2806.767
1.144,6497.725
1.88,6104.846
1.288,5714.833
1.064,5328.317
1.664,4946.117
1.328,4569.317
1.08,4199.369
1.336,3838.258
0.792,3488.726
0.704,3154.626
0.264,2650.334
0.688,2841.406
0.44,2556.752
1.808,2311.242
0.4,2118.53
0.84,1993.982
0.088,1950.7
1.312,1993.982
3.536,2118.53
2.08,2311.295
1.792,7483.29
0.768,2551.875
2.016,7096.858
1.456,6713.616
2.264,6334.141
1.96,5959.154
1.496,5589.558
1.624,5226.497
1.744,4871.433
1.264,4526.246
1.328,4193.379
0.824,3876.004
0.296,2518.2
1.144,3578.249
0.208,3305.418
0.352,3064.177
1.32,2862.523
0.272,2709.312
0.88,2613.076
0.192,2580.2
1.56,2613.076
3.072,2709.312
2.152,2862.567
1.048,2551.875
2.0,7748.992
1.256,7376.492
1.488,7008.558
1.32,6645.945
1.208,6289.576
1.472,5940.573
0.872,5600.314
0.904,5270.493
0.928,4953.196
0.736,4650.986
1.264,7074.553
2.68,2650.334
0.96,4366.996
1.048,4105.01
0.2,3869.5
0.152,3665.573
1.008,3498.755
0.6,3374.554
1.336,3297.789
0.8,3271.8
2.472,3297.789
3.288,3374.554
0.48,2806.811
2.624,3498.79
2.496,8035.069
1.6,7676.464
1.248,7323.616
2.024,6977.396
1.2,6638.842
0.92,6309.19
1.232,5989.907
1.136,5682.743
1.08,5389.769
2.272,7273.884
1.016,5113.427
0.224,4856.554
0.464,4622.399
0.472,4414.578
0.4,4236.967
1.584,4093.501
0.872,3987.866
1.032,3923.121
0.568,3901.3
1.896,3923.121
2.136,6875.693
3.352,3987.866
2.36,4093.531
2.104,8358.902
1.2,8014.8
1.184,7677.516
1.944,7347.991
1.512,7027.314
0.608,6716.754
1.28,6417.78
0.992,6132.086
1.248,6479.382
0.808,5861.615
0.832,5608.569
0.888,5375.41
0.664,5164.832
0.608,4979.7
0.12,4822.945
1.24,4697.41
0.648,4605.648
1.096,4549.702
0.312,4530.9
1.52,6085.318
2.408,4549.702
3.648,4605.648
1.352,8716.217
1.376,8386.788
1.392,8065.076
1.336,7752.042
0.928,7448.78
1.0,7156.534
0.552,6876.706
1.032,5693.968
1.048,6610.875
0.384,6360.795
0.768,6128.396
0.376,5915.76
0.52,5725.092
0.016,5558.651
0.584,5418.671
1.12,5307.245
0.464,5226.201
1.488,5176.966
0.712,5305.932
0.832,5160.45
2.624,5176.966
3.672,5226.201
2.376,5307.269
1.032,4921.995
0.552,4543.194
0.632,6690.033
0.68,4170.93
0.76,3807.122
0.24,3454.441
1.016,3116.668
0.408,2799.204
0.336,2509.768
1.84,2259.158
0.272,2061.583
0.224,1933.371
0.616,1888.7
0.632,6309.14
1.208,1933.371
1.984,2061.583
0.616,2259.213
1.912,7136.353
1.416,6730.03
1.12,6324.598
1.328,5920.24
1.112,5517.193
0.696,5115.766
0.84,4716.373
0.904,5932.573
1.272,4319.578
0.648,3926.169
0.856,3537.276
0.832,3154.57
0.624,2780.605
0.536,2419.44
0.28,2077.759
1.832,1766.902
0.512,1506.078
0.64,1325.167
0.568,5561.21
0.504,1259.1
1.232,1325.167
2.232,1506.078
1.176,1766.972
2.016,7052.559
1.72,6641.111
1.384,6229.896
1.6,5818.961
1.208,5408.372
0.656,4998.212
0.544,5196.169
1.496,4588.599
0.952,4179.691
0.608,3771.72
0.84,3365.024
0.72,2960.131
0.344,2557.895
0.608,2159.804
0.208,1768.656
1.864,1390.325
0.24,1038.91
0.104,4838.88
0.112,753.081
0.744,629.6
0.424,753.081
1.168,1390.414
1.608,7024.4
1.456,6611.2
1.248,6198.0
1.832,5784.8
1.536,5371.6
0.024,4491.192
1.272,4958.4
1.288,4545.2
1.432,4132.0
0.464,3718.8
1.016,3305.6
0.76,2892.4
0.752,2479.2
0.56,2066.0
0.096,1652.8
1.696,1239.6
1.432,413.2
0.52,826.5
2.608,7469.676
3.048,7058.354
2.016,6647.265
2.296,6236.455
0.624,4155.517
2.384,5825.983
2.184,5415.926
2.112,5006.386
2.168,4597.501
2.464,4189.463
1.792,3782.545
1.736,3377.153
1.816,2973.912
1.352,2573.831
1.208,2178.653
1.44,3835.011
2.648,1791.625
0.632,1419.43
0.04,1077.548
0.584,805.547
0.336,691.5
1.384,805.547
0.72,1077.624
3.08,7554.019
2.544,7147.552
2.232,6741.904
1.152,3533.803
2.656,6337.232
2.672,5933.735
2.352,5531.672
2.344,5131.378
1.816,4733.302
1.984,4338.056
2.024,3946.489
1.76,3559.817
1.616,3179.824
1.432,2809.224
0.448,3257.251
1.272,2452.277
3.088,2115.905
0.896,1811.605
0.056,1558.282
0.624,1384.211
1.864,1384.211
0.328,1558.335
2.688,7689.156
2.496,7290.228
2.112,3012.155
2.104,6892.982
2.84,6497.725
2.248,6104.846
2.024,5714.833
2.624,5328.317
2.288,4946.117
2.04,4569.317
2.296,4199.369
1.752,3838.258
1.664,3488.726
0.696,2806.767
1.648,3154.626
1.4,2841.406
2.768,2556.752
0.56,2311.242
0.12,2118.53
1.048,1993.982
0.352,1950.7
2.576,1993.982
1.12,2118.569
2.752,7872.441
0.192,2650.334
2.976,7483.29
2.416,7096.858
3.224,6713.616
2.92,6334.141
2.456,5959.154
2.584,5589.558
2.704,5226.497
2.224,4871.433
2.288,4526.246
1.784,4193.379
0.664,2551.875
2.104,3876.004
1.168,3578.249
1.312,3305.418
2.28,3064.177
0.688,2862.523
0.08,2709.312
0.768,2613.076
0.6,2580.2
2.112,2613.076
1.192,2709.342
0.088,2518.2
2.96,8125.427
2.216,7748.992
2.448,7376.492
2.28,7008.558
2.168,6645.945
2.432,6289.576
1.832,5940.573
1.864,5600.314
1.888,5270.493
1.696,4953.196
2.224,7462.14
1.72,2551.875
1.92,4650.986
2.008,4366.996
1.16,4105.01
1.112,3869.5
1.968,3665.573
0.36,3498.755
0.376,3374.554
0.16,3297.789
1.512,3271.8
2.328,3297.789
0.48,2650.365
1.664,3374.578
3.456,8398.692
2.56,8035.069
2.208,7676.464
2.984,7323.616
2.16,6977.396
1.88,6638.842
2.192,6309.19
2.096,5989.907
2.04,5682.743
3.232,7673.662
1.976,5389.769
1.184,5113.427
1.424,4856.554
1.432,4622.399
1.36,4414.578
2.544,4236.967
0.088,4093.501
0.072,3987.866
0.392,3923.121
0.936,3901.3
3.096,7273.884
2.392,3923.121
1.4,3987.887
3.064,8709.015
2.16,8358.902
2.144,8014.8
2.904,7677.516
2.472,7347.991
1.568,7027.314
2.24,6716.754
1.952,6417.78
2.208,6875.693
1.768,6132.086
1.792,5861.615
1.848,5608.569
1.624,5375.41
1.568,5164.832
1.08,4979.7
2.2,4822.945
0.312,4697.41
0.136,4605.648
1.272,4549.702
2.48,6479.382
1.448,4530.9
2.688,4549.702
2.312,9052.521
2.336,8716.217
2.352,8386.788
2.296,8065.076
1.888,7752.042
1.96,7448.78
1.512,7156.534
1.992,6085.318
2.008,6876.706
1.344,6610.875
1.728,6360.795
1.336,6128.396
1.48,5915.76
0.944,5725.092
0.376,5558.651
2.08,5418.671
0.496,5307.245
0.528,5226.201
1.672,5693.968
0.128,5176.966
1.664,5160.45
2.712,5176.966
1.416,5226.217
1.992,5305.932
1.512,4921.995
1.592,7074.553
1.64,4543.194
1.72,4170.93
1.2,3807.122
1.976,3454.441
1.368,3116.668
1.296,2799.204
2.8,2509.768
1.232,2259.158
1.184,2061.583
1.576,1933.371
1.592,6690.033
0.248,1888.7
1.024,1933.371
0.344,2061.623
2.872,7543.423
2.376,7136.353
2.08,6730.03
2.288,6324.598
2.072,5920.24
1.656,5517.193
1.8,5115.766
1.864,6309.14
2.232,4716.373
1.608,4319.578
1.816,3926.169
1.792,3537.276
1.584,3154.57
1.496,2780.605
1.24,2419.44
2.792,2077.759
