MR4_100_168,"[1564.288, 1544.616, 1554.392, 1535.0, 1564.288, 1564.288, 1564.288, 1564.288, 1544.616, 1544.616]"
MR4_100_169,"[1536.352, 1555.832, 1546.024]"
MR4_100_17,"[1536.552, 1556.016, 1546.224]"
MR4_100_170,"[1536.608, 1556.096, 1546.296]"
MR4_100_171,"[1536.584, 1556.064, 1546.264]"
MR4_100_172,"[1536.544, 1556.024, 1546.224]"
MR4_100_173,"[1546.64, 1556.44, 1536.952]"
MR4_100_174,"[1536.384, 1546.04, 1555.832]"
MR4_100_175,"[1546.384, 1536.704, 1556.176]"
MR4_100_176,"[1536.872, 1556.352, 1546.544]"
MR4_100_177,"[1536.744, 1546.424, 1556.216]"
MR4_100_178,"[1536.872, 1556.352, 1546.552]"
MR4_100_179,"[1536.744, 1546.424, 1556.216]"
MR4_100_18,"[1556.048, 1536.584, 1546.248]"
MR4_100_180,"[1556.368, 1536.888, 1546.568]"
MR4_100_181,"[1536.456, 1546.12, 1555.912]"
MR4_100_182,"[1536.44, 1555.904, 1546.104]"
MR4_100_183,"[1555.984, 1546.192, 1536.52]"
MR4_100_184,"[1535.784, 1545.448, 1555.224]"
MR4_100_185,"[1565.0, 1535.672, 1555.112, 1545.336]"
MR4_100_186,"[1555.392, 1535.928, 1545.6]"
MR4_100_187,"[1564.344, 1535.032, 1544.68, 1554.448, 1564.344, 1535.032, 1544.68, 1544.68]"
MR4_100_188,"[1563.784, 1544.128, 1553.888, 1563.784, 1544.136]"
MR4_100_189,"[1564.392, 1554.488, 1544.72, 1535.064, 1564.392, 1544.72]"
MR4_100_19,"[1556.16, 1546.392, 1536.72]"
MR4_100_190,"[1536.456, 1555.928, 1546.128]"
MR4_100_191,"[1536.592, 1546.264, 1556.064]"
MR4_100_192,"[1546.056, 1536.392, 1555.856]"
MR4_100_193,"[1556.24, 1536.752, 1546.44]"
MR4_100_194,"[1536.776, 1556.264, 1546.464]"
MR4_100_195,"[1536.448, 1546.112, 1555.912]"
MR4_100_196,"[1556.352, 1536.864, 1546.552]"
MR4_100_197,"[1536.864, 1556.344, 1546.544]"
MR4_100_198,"[1536.64, 1556.112, 1546.312]"
MR4_100_199,"[1536.456, 1555.928, 1546.128]"
MR4_100_2,"[1536.08, 1555.536, 1545.752]"
MR4_100_20,"[1536.024, 1555.456, 1545.68]"
MR4_100_200,"[1536.712, 1556.184, 1546.392]"
MR4_100_201,"[1556.352, 1536.88, 1546.56]"
MR4_100_202,"[1556.192, 1536.712, 1546.4]"
MR4_100_203,"[1556.296, 1546.512, 1536.832]"
MR4_100_204,"[1536.232, 1555.696, 1545.896]"
MR4_100_205,"[1535.944, 1555.4, 1545.616]"
MR4_100_206,"[1555.328, 1535.88, 1545.552]"
MR4_100_207,"[1555.336, 1545.56, 1535.88]"
MR4_100_208,"[1564.4, 1554.504, 1535.088, 1544.736, 1564.4, 1535.088, 1554.504, 1554.504, 1554.504]"
MR4_100_209,"[1564.392, 1535.064, 1554.488, 1544.72, 1564.392, 1535.064]"
MR4_100_21,"[1555.944, 1546.16, 1536.504]"
MR4_100_210,"[1554.84, 1564.744, 1535.408, 1545.072]"
MR4_100_211,"[1546.224, 1556.016, 1536.544]"
