Distance,Qfactor_Diff,ER_Diff
1419.43,1613.042,3.198
1791.625,882.5,2.182
2178.748,5.45,0.326
6337.232,4.25,0.559
5933.735,876.136,1.001
5531.672,0.35,0.267
2806.767,877.5,0.792
5131.378,2.05,1.563
4733.302,1075.111,1.613
4338.056,2.35,0.426
3946.489,1079.111,1.492
3559.817,2.55,0.953
3179.824,0.1,1.323
2809.224,1074.222,2.093
2115.905,4.2,1.605
1811.605,1.25,1.063
2650.334,3.35,1.415
1558.282,3.35,0.203
1384.211,1076.5,1.536
1321.1,1.7,2.59
1384.211,0.85,2.001
1558.282,0.35,0.786
1811.605,1613.833,1.874
2115.905,7.4,2.148
2452.361,1615.083,4.829
6497.725,2.25,0.938
6104.846,1.7,1.586
2551.875,1078.778,4.473
5714.833,0.8,2.606
5328.317,1.1,1.299
4946.117,876.636,1.525
4569.317,3.75,1.194
4199.369,2.85,0.458
3838.258,1607.958,3.232
3488.726,875.909,1.63
3154.626,875.545,0.633
2841.406,1075.611,3.487
2556.752,1078.556,2.837
2518.2,2.45,0.546
2311.242,1609.208,1.925
2118.53,876.409,1.954
1993.982,1075.667,2.669
1950.7,3.55,1.364
1993.982,1.75,2.912
2118.53,877.636,0.644
2311.242,5.05,3.59
2556.752,1061.556,3.35
2841.478,2404.812,4.128
6713.616,878.273,1.824
2551.875,1.4,1.366
6334.141,876.727,3.164
5959.154,1.65,1.836
5589.558,1.4,2.364
5226.497,4.0,0.404
4871.433,0.25,0.209
4526.246,1076.278,3.541
4193.379,1077.389,1.111
3876.004,1076.556,1.961
3578.249,875.273,1.875
3305.418,1076.556,2.852
2650.334,877.0,2.67
3064.177,875.182,2.149
2862.523,1074.444,2.831
2709.312,1074.333,2.673
2613.076,1.2,0.419
2580.2,3.45,1.805
2613.076,882.182,1.914
2709.312,880.682,0.357
2862.523,1064.444,1.339
3064.177,11.7,2.123
3305.48,8.0,1.107
2806.767,1076.333,0.124
7008.558,877.682,1.657
6645.945,1.6,1.095
6289.576,1074.0,1.377
5940.573,875.909,2.711
5600.314,875.773,0.818
5270.493,1074.389,0.839
4953.196,3.45,1.258
4650.986,875.318,2.235
4366.996,1.95,0.336
4105.01,877.682,0.612
6309.14,1.6,0.963
3012.155,1071.389,2.19
3869.5,2.45,1.297
3665.573,3.5,0.918
3498.755,876.136,1.99
3374.554,3.2,0.856
3297.789,1610.958,3.236
3271.8,880.591,0.413
3297.789,2.8,1.037
3374.554,880.909,4.106
3498.755,7.9,0.183
3665.573,885.682,1.992
3257.315,1.0,0.038
3869.554,1067.167,3.068
7323.616,1.4,0.96
6977.396,2.3,0.122
6638.842,1073.278,2.845
6309.19,2.0,3.165
5989.907,1.65,1.588
5682.743,1075.556,3.122
5389.769,1.05,1.157
5113.427,876.091,0.485
4856.554,1.95,1.438
6479.382,2.5,0.058
4622.399,2.2,0.476
4414.578,2.35,2.587
4236.967,2.15,2.117
4093.501,0.1,0.47
3987.866,1609.5,3.335
3923.121,877.364,1.585
3901.3,1074.111,3.675
3923.121,3.6,2.625
3987.866,2231.962,5.242
4093.501,7.65,1.454
6085.318,877.455,2.317
4236.967,887.091,0.703
4414.625,8.95,1.211
7677.516,1075.889,1.526
7347.991,1077.556,2.759
7027.314,1.65,1.36
6716.754,2.25,2.781
6417.78,1076.389,3.002
6132.086,0.65,1.518
5861.615,2.6,2.64
5608.569,2.45,3.269
5693.968,877.636,1.959
5375.41,1.1,1.035
5164.832,1076.722,3.776
4979.7,1077.0,3.178
4822.945,2.15,3.793
4697.41,0.05,1.181
4605.648,1075.889,2.499
4549.702,1076.833,2.27
4530.9,0.75,3.12
4549.702,1.5,1.882
4605.648,1.5,2.146
5305.932,1078.389,3.261
4697.41,1064.222,2.604
4822.945,11.4,2.03
4979.741,8.4,3.623
8065.076,1073.667,2.636
7752.042,1073.722,2.96
7448.78,1072.222,2.241
7156.534,1.55,0.392
6876.706,1609.333,3.189
6610.875,1073.556,0.484
6360.795,3.2,0.074
4921.995,1070.556,1.529
6128.396,1609.0,2.583
5915.76,876.682,2.047
5558.651,1608.833,5.122
5418.671,1073.167,2.293
5307.245,2.7,0.916
5176.966,0.95,0.876
5160.45,878.091,1.969
5176.966,881.273,0.27
4543.194,1072.222,2.587
5226.201,878.364,0.003
5307.245,1068.667,2.038
5418.671,1616.75,2.723
5558.688,1065.278,3.709
8428.244,878.318,1.208
8129.207,1.3,0.383
7840.547,1071.278,2.367
7563.453,878.227,0.051
7299.242,1075.944,3.104
7049.363,2.75,2.098
4170.93,0.75,0.316
6815.392,1078.5,2.168
6599.021,2.6,0.549
6402.036,878.136,1.196
6226.277,1077.222,2.627
6073.586,1076.944,1.145
5945.741,0.2,0.306
5844.373,1.6,0.296
5770.877,1072.556,2.446
5726.327,1075.778,3.755
5711.4,3.1,3.254
3807.122,1.95,2.23
5726.327,881.136,0.074
5770.877,0.35,1.414
5844.373,3.95,1.754
5945.741,7.15,3.173
6073.62,1064.778,0.952
5932.573,0.2,0.361
3454.441,1.9,4.0
3116.668,1071.611,0.33
2799.204,0.45,1.75
2509.768,1075.0,2.685
2259.158,4.25,0.739
2061.583,1074.778,3.137
1933.371,7.65,2.132
1888.7,2.8,0.646
1933.371,1078.222,3.773
2061.583,1081.944,3.553
5561.21,0.4,0.029
2259.158,2.6,3.047
2509.768,1070.667,1.984
2799.278,1077.722,2.426
6324.598,878.182,2.807
5920.24,2414.687,2.903
5517.193,1072.722,2.868
5115.766,878.273,0.996
4716.373,2.6,0.351
4319.578,2.1,1.04
3926.169,876.045,3.428
5196.169,2.35,1.155
3537.276,1.9,0.615
3154.57,2.35,2.057
2780.605,3.25,0.679
2419.44,1.75,0.957
2077.759,1075.444,0.123
1766.902,875.909,1.479
1506.078,4.55,1.168
1325.167,4.35,1.981
1259.1,2.05,0.358
1325.167,1.0,1.457
4838.88,878.773,1.577
1506.078,1.9,1.048
1766.902,0.45,2.486
2077.759,2.1,0.393
2419.525,1074.833,1.01
6229.896,878.545,1.169
5818.961,0.35,1.122
5408.372,2760.036,4.919
4998.212,2.25,0.51
4588.599,1.6,0.255
4179.691,1.2,2.021
4491.192,1070.444,1.11
3771.72,4.05,0.396
3365.024,1609.375,3.44
2960.131,0.1,2.021
2557.895,1.5,1.402
2159.804,1077.389,3.46
1768.656,875.0,4.524
1038.91,875.136,1.447
753.081,5.95,1.806
629.6,878.045,0.352
4155.517,878.409,1.21
1038.91,873.409,0.08
1768.656,1.8,0.94
2159.899,878.864,2.85
6198.0,878.682,1.768
5784.8,1609.208,4.307
5371.6,1072.0,2.567
4958.4,2.1,1.161
4545.2,1.4,0.891
3835.011,1071.833,1.937
4132.0,2.0,1.287
3718.8,2.85,2.799
3305.6,2.05,0.212
2892.4,876.409,3.473
2479.2,875.818,1.691
2066.0,1.2,0.316
1652.8,1.85,1.511
1239.6,0.85,0.593
826.4,2.05,0.653
7074.553,0.7,1.422
3835.011,3.0,1.882
413.2,2.85,2.967
413.2,1610.183,6.58
826.4,4.8,2.798
1239.6,7.65,2.794
1652.9,5.7,1.051
6647.265,879.077,7.165
6236.455,881.577,5.057
5825.983,1072.706,1.623
5415.926,1.8,2.99
3533.803,2.1,3.036
5006.386,2.6,3.213
4597.501,3.65,4.208
4189.463,2.45,3.141
3782.545,1.05,2.68
3377.153,1076.928,1.176
2973.912,1076.206,2.141
2573.831,0.35,2.702
2178.653,1073.094,1.189
1791.625,1.0,0.101
1419.43,879.032,4.658
3257.251,1.65,3.142
1077.548,0.9,4.124
805.547,880.623,4.736
691.5,1070.65,1.387
805.547,4.2,1.551
1077.548,1615.892,6.164
1419.43,885.35,5.149
1791.717,8.3,3.292
6741.904,1.4,2.408
6337.232,878.986,3.968
5933.735,2.5,3.234
3012.155,880.35,2.174
5531.672,0.8,1.403
5131.378,1072.261,1.354
4733.302,0.5,2.541
4338.056,1076.261,1.474
3946.489,0.3,2.013
3559.817,2.95,1.643
3179.824,1071.372,0.874
2452.277,1.35,1.361
2115.905,1.6,1.904
2806.767,0.5,1.552
1811.605,0.5,2.764
1558.282,1073.65,1.431
1384.211,4.55,5.557
1321.1,3.7,0.965
1384.211,3.2,3.752
1558.282,1616.683,4.841
1811.605,10.25,0.819
2115.983,1617.933,7.796
6892.982,0.6,2.028
6497.725,1.15,1.38
2650.334,1075.928,1.507
6104.846,3.65,0.36
5714.833,1.75,4.266
5328.317,879.486,4.492
4946.117,0.9,4.16
4569.317,0.0,2.509
4199.369,1610.808,6.199
3838.258,878.759,4.596
3488.726,878.395,3.6
3154.626,1072.761,0.521
2841.406,1075.706,0.13
2551.875,0.4,2.421
2556.752,1612.058,4.892
2311.242,879.259,4.921
2118.53,1072.817,0.297
1993.982,6.4,1.602
1950.7,4.6,0.055
1993.982,880.486,3.61
2118.53,7.9,0.623
2311.242,1058.706,0.384
2556.816,2401.962,1.161
7096.858,881.123,4.791
2518.2,1.45,4.333
6713.616,879.577,6.131
6334.141,1.2,4.803
5959.154,1.45,5.331
5589.558,1.15,2.563
5226.497,2.6,2.758
4871.433,1073.428,0.574
4526.246,1074.539,1.856
4193.379,1073.706,1.006
3876.004,878.123,4.841
3578.249,1073.706,0.114
2551.875,879.85,5.636
3305.418,878.032,5.115
3064.177,1071.594,0.136
2862.523,1071.483,0.293
2709.312,1.65,2.548
2613.076,6.3,1.161
2580.2,885.032,4.881
2613.076,883.532,2.61
2709.312,1061.594,1.628
2862.523,14.55,0.844
3064.231,10.85,4.073
2650.334,1073.483,3.091
7376.492,880.532,4.624
7008.558,1.25,4.061
6645.945,1071.15,1.589
6289.576,878.759,5.677
5940.573,878.623,3.784
5600.314,1071.539,2.128
5270.493,0.6,1.708
4953.196,878.168,5.202
4650.986,0.9,2.63
4366.996,880.532,3.579
6690.033,4.45,3.93
2806.767,1068.539,0.777
4105.01,0.4,4.264
3869.5,0.65,2.049
3665.573,878.986,4.957
3498.755,0.35,3.822
3374.554,1613.808,6.202
3297.789,883.441,3.379
